Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
21,1.8442,1.8442,0.1410,181.7083,144.6667,150.2500,0.5544,1,1,451,630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6998,0.5965,0.0962,1.6764,17.0772,0.5275,2024-04-08,1.5323,4.2812,1.5323,47.2000,2.6720,2.9246,-45.0000,60.0000,0.0000,1.4920,0.0000,0.3419,4.6448,1.5882,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,21,26,507,0,156.3750,6.9300,BD36D9DB-AD8E-44C6-A38C-15A81DBBFDD5,2,12.4658,1.2560,0.8269,1.0386,0.7300,0.0000,0.0000,0.0000,5.8794,44,0.0000,0,0.0000,0.0000,3753.0000,0.6184,10:14:11,2024-04-08T10:14:11.837,0.6421,1.883911e+00,4.108612e+01,1.1088
22,1.5368,1.5368,0.1463,174.1000,145.5000,154.5500,0.5544,1,1,639,773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6656,0.4192,0.0420,2.3855,23.0080,0.2759,2024-04-08,1.3988,6.2062,1.3988,47.2273,2.7340,5.3056,-25.0000,70.0000,0.0000,1.7959,0.0000,0.1885,5.7109,1.0764,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,22,31,535,0,155.0000,10.2564,2285ECF2-A252-4778-9F68-DDCD26BFFB3F,2,13.5746,1.1966,0.8877,1.0622,0.5900,0.0000,0.0000,0.0000,7.0781,45,0.0000,0,0.0000,0.0000,3100.0000,0.6226,10:14:11,2024-04-08T10:14:11.897,0.7746,1.433140e+00,1.251630e+02,1.3860
23,1.1526,1.1526,0.0675,202.8667,141.8000,143.2667,0.5544,1,1,476,318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7426,0.4345,0.0103,2.3015,37.3047,0.1493,2024-04-08,1.2114,10.7184,1.2114,31.9000,2.7340,5.0316,-60.0000,40.0000,0.0000,3.6258,0.0000,0.1987,4.8164,0.9572,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,41,32,568,0,160.2000,17.4636,DE4ADE3B-D9DB-4794-A93F-318BD18EBB71,2,11.5473,1.4307,0.7062,1.0103,0.3095,0.0000,0.0000,0.0000,6.0465,45,0.0000,0,0.0000,0.0000,2403.0000,0.7621,10:14:11,2024-04-08T10:14:11.897,0.8870,9.308514e-01,6.447458e+02,1.3860
24,1.3831,1.3831,0.1300,174.7222,145.2222,151.9444,0.5544,1,1,410,145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5182,0.3225,0.0613,3.1012,19.4009,0.3871,2024-04-08,1.3270,5.0204,1.3270,23.8750,2.7340,7.6113,-40.0000,50.0000,0.0000,1.3242,0.0000,0.1314,6.4891,0.8526,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,22,28,602,0,154.8333,8.5932,45CDC34A-1102-4370-9D39-F50BCEF92D79,2,14.6834,1.2031,0.8696,1.0463,0.7568,0.0000,0.0000,0.0000,4.7522,45,0.0000,0,0.0000,0.0000,2787.0000,0.5000,10:14:11,2024-04-08T10:14:11.897,0.7357,1.223636e+00,6.625423e+01,1.1088
25,3.3810,3.3810,0.1788,198.9318,137.4318,138.0227,0.5544,1,1,499,829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5319,0.6086,0.1329,1.6432,22.4163,0.5366,2024-04-08,2.0748,5.9290,2.0748,47.6154,2.7970,2.8058,65.0000,-35.0000,0.0000,1.4850,0.0000,0.3564,6.1600,2.1954,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,30,23,632,0,155.8864,9.1476,B6504BDA-0A65-48C8-9F25-71B20F333A10,2,16.7108,1.4475,0.6938,1.0043,0.7455,0.0000,0.0000,0.0000,5.9666,46,0.0000,0,0.0000,0.0000,6859.0000,0.5806,10:14:11,2024-04-08T10:14:11.955,0.6501,4.676517e+00,1.091297e+02,1.3860
26,1.9210,1.9210,0.1647,183.4400,136.6800,146.9600,0.5544,1,1,776,777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6641,0.4683,0.0825,2.1352,19.8024,0.4167,2024-04-08,1.5639,5.1590,1.5639,42.1739,2.7970,4.4849,-90.0000,10.0000,0.0000,1.3694,0.0000,0.2230,5.8704,1.3089,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,30,19,657,0,151.8800,8.0388,D8176E7E-A29F-4A90-9B8D-54D3F0D2B7F8,2,14.3587,1.3421,0.8011,1.0752,0.7251,0.0000,0.0000,0.0000,4.8359,46,0.0000,0,0.0000,0.0000,3797.0000,0.4309,10:14:11,2024-04-08T10:14:11.955,0.6969,2.002873e+00,7.189442e+01,1.6632
27,2.2284,2.2284,0.1835,175.3103,134.6552,142.3103,0.5544,1,1,243,610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6089,0.6079,0.1693,1.6451,15.2818,0.7250,2024-04-08,1.6844,3.7730,1.6844,65.2727,2.7970,2.8128,-90.0000,0.0000,0.0000,1.1626,0.0000,0.3555,5.0072,1.7801,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,26,15,678,0,147.7586,5.8212,EF912FC7-DCC7-4516-B91F-73AFE42E8AFB,2,13.5746,1.3019,0.8118,1.0569,0.8883,0.0000,0.0000,0.0000,7.0450,46,0.0000,0,0.0000,0.0000,4285.0000,0.3398,10:14:11,2024-04-08T10:14:11.955,0.5536,2.502306e+00,2.812283e+01,1.1088
28,24.3245,24.3245,0.3057,165.6566,121.1506,121.6205,0.5544,1,1,251,360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3755,0.5318,0.5027,1.8802,30.6285,1.0000,2024-04-08,5.5651,8.5624,5.5651,101.7321,2.7970,3.6316,10.0000,-75.0000,0.0448,0.9571,0.0000,0.2754,13.6120,3.7483,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,21,37,695,0,134.4940,13.0284,C0C2328F-E4D8-4580-AC8C-1FFD4640AE6B,1,34.7206,1.3674,0.7342,1.0039,1.1336,0.0000,0.0000,0.0000,12.3624,46,0.0000,0,0.0000,0.0000,22326.0000,0.4777,10:14:11,2024-04-08T10:14:11.955,0.3500,9.024625e+01,3.286890e+02,2.4948
29,32.7967,49.4594,0.9274,157.2195,115.2195,122.4780,0.5544,1,1,7,406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9098,0.9504,0.9931,1.0522,29.8229,1.0000,2024-04-08,6.4620,8.3622,7.9356,107.9074,2.8590,1.0000,20.0000,-90.0000,0.0000,1.0886,0.0000,1.0000,8.4030,8.4030,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,28,29,734,0,128.6000,9.1476,BAF0F153-53EA-4CE8-87ED-566609D649C4,1,33.6118,1.3645,0.7790,1.0630,1.1270,0.0000,0.0000,0.0000,15.8689,47,0.0000,0,0.0000,0.0000,26363.0000,0.8838,10:14:12,2024-04-08T10:14:12.015,0.2272,1.412893e+02,3.061683e+02,7.4844
30,2.0747,2.0747,0.2228,170.0741,141.1852,148.3333,0.5544,1,1,921,182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5485,0.2870,0.2412,3.4846,13.8560,0.7397,2024-04-08,1.6253,3.2956,1.6253,33.7586,2.8590,8.8341,-65.0000,15.0000,0.4709,0.6799,0.0000,0.1132,8.5622,0.9692,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,23,18,765,0,150.5926,5.8212,A36C9C0A-E25A-41ED-95A3-E604008491C8,1,19.0629,1.2046,0.8722,1.0506,1.3758,0.0000,0.0000,0.0000,5.3973,47,0.0000,0,0.0000,0.0000,4066.0000,0.4982,10:14:12,2024-04-08T10:14:12.015,0.5068,2.247963e+00,1.874140e+01,1.3860
