Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
21,11.1092,11.1092,0.5538,173.1300,102.9400,100.0200,0.5544,1,1,467,373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6246,0.6147,0.7120,1.6267,20.5440,0.9901,2024-04-08,3.7609,5.3900,3.7609,159.9487,2.7340,2.7465,-35.0000,70.0000,0.2276,0.8146,0.0000,0.3641,9.1878,3.3453,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,21,27,542,0,123.5900,7.4844,B8D18864-2A01-4A6C-BF87-B98581D854C6,1,25.0662,1.6819,0.5777,0.9716,1.2201,0.0000,0.0000,0.0000,23.1854,45,0.0000,0,0.0000,0.0000,12359.0000,0.3882,10:32:55,2024-04-08T10:32:55.896,0.3022,2.785389e+01,8.199076e+01,3.0492
22,3.5346,3.5346,0.3655,180.3261,127.8696,133.2826,0.5544,1,1,820,917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5473,0.3806,0.2440,2.6273,18.8670,0.5542,2024-04-08,2.1214,4.8972,2.1214,69.7059,2.7970,6.0896,45.0000,-30.0000,0.3389,0.7469,0.0000,0.1642,9.2789,1.5237,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,25,22,571,0,144.1957,6.9300,361CB1C3-A579-45F9-B1AE-7492A27E7301,2,21.6053,1.4102,0.7391,1.0423,1.1451,0.0000,0.0000,0.0000,15.2752,46,0.0000,0,0.0000,0.0000,6633.0000,0.5492,10:32:55,2024-04-08T10:32:55.956,0.5668,4.998966e+00,6.149533e+01,2.4948
23,17.0936,28.6230,0.7166,150.8702,111.1298,122.6870,0.5544,1,1,1215,436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7318,0.8254,0.9107,1.2115,25.4880,1.0000,2024-04-08,4.6652,6.9146,6.0369,92.1915,2.8590,1.0000,20.0000,-90.0000,0.0000,1.2403,0.0000,1.0000,7.3753,7.3753,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,24,29,595,0,124.3282,9.1476,9279810D-6BE1-4224-BFC7-A03FDF0228FF,1,29.5014,1.3576,0.8132,1.1040,1.1575,0.0000,0.0000,0.0000,13.4377,47,0.0000,0,0.0000,0.0000,16287.0000,0.6670,10:32:56,2024-04-08T10:32:56.013,0.3253,5.316350e+01,1.731011e+02,5.2668
24,47.8258,47.8258,0.6900,154.3358,103.4723,100.7343,0.5544,1,1,802,69,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7591,0.8946,0.9207,1.1178,30.4318,1.0000,2024-04-08,7.8034,8.5008,7.8034,126.5849,2.8590,1.0000,45.0000,-50.0000,0.0000,1.2642,0.0000,1.0000,8.5514,8.5514,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,29,30,626,0,118.3875,10.8108,46C8C9D8-6F67-488B-A9BC-5A4605ADC759,1,34.2056,1.4916,0.6527,0.9735,1.1240,0.0000,0.0000,0.0000,17.8276,47,0.0000,0,0.0000,0.0000,32083.0000,0.7722,10:32:56,2024-04-08T10:32:56.013,0.0820,2.488036e+02,3.216459e+02,6.3756
25,1.6136,1.6136,0.1669,191.0000,126.3333,130.2857,0.5544,1,1,173,239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7683,0.6830,0.1041,1.4642,15.1734,0.5526,2024-04-08,1.4334,3.6498,1.4334,62.9444,2.9220,2.1305,40.0000,-30.0000,0.0000,1.5698,0.0000,0.4694,3.7083,1.7406,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,24,20,658,0,146.0000,5.8212,688BD2F3-3268-4D26-A1DD-D7C08EDEEDD2,2,10.8978,1.5119,0.6821,1.0313,0.7182,0.0000,0.0000,0.0000,6.2029,48,0.0000,0,0.0000,0.0000,3066.0000,0.6770,10:32:56,2024-04-08T10:32:56.073,0.6073,1.541958e+00,2.545692e+01,1.1088
26,4.3799,4.3799,0.6973,186.1754,112.1053,109.3509,0.5544,1,1,327,205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7041,0.6058,0.7440,1.6506,14.9745,0.9194,2024-04-08,2.3615,3.6344,2.3615,127.4483,2.9680,2.8325,15.0000,-75.0000,0.4949,0.6689,0.0000,0.3530,7.0445,2.4870,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,21,22,680,0,133.8772,4.7124,5700C5A8-A944-49C7-830A-EDE14DBB80B8,1,19.0629,1.6607,0.5874,0.9754,1.2730,0.0000,0.0000,0.0000,20.7052,49,0.0000,0,0.0000,0.0000,7631.0000,0.6740,10:32:56,2024-04-08T10:32:56.132,0.3502,6.895341e+00,2.513604e+01,3.0492
27,1.2294,1.2294,0.1262,194.8125,138.3125,148.1875,0.5544,1,1,628,736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7585,0.5204,0.0654,1.9218,16.8324,0.5161,2024-04-08,1.2511,4.1734,1.2511,41.6667,3.0310,3.7723,0.0000,80.0000,0.0000,1.6090,0.0000,0.2651,4.3071,1.1418,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,16,28,704,0,156.3125,6.9300,EADAD215-AB48-4B25-9505-72ECB2BA4B86,2,10.8978,1.4085,0.7607,1.0714,0.6474,0.0000,0.0000,0.0000,5.8919,50,0.0000,0,0.0000,0.0000,2501.0000,0.6036,10:32:56,2024-04-08T10:32:56.191,0.7002,1.025471e+00,3.805999e+01,1.1088
28,42.7366,42.7366,0.9750,184.8996,99.8394,80.3735,0.5544,1,1,15,198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9112,0.9211,0.9928,1.0857,28.3297,1.0000,2024-04-08,7.3766,7.9156,7.3766,135.6600,3.0310,1.0000,70.0000,0.0000,0.0000,1.0638,0.0000,1.0000,8.0782,8.0782,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,29,28,734,0,123.0361,8.5932,26D089FC-1626-46D5-8C43-35B9A5773E79,1,32.3128,1.8520,0.4347,0.8050,1.1406,0.0000,0.0000,0.0000,19.9504,50,0.0000,0,0.0000,0.0000,30636.0000,0.8954,10:32:56,2024-04-08T10:32:56.191,0.0681,2.101668e+02,2.596870e+02,7.4844
29,23.0564,23.0564,0.7528,202.2063,102.6500,88.6437,0.5544,1,1,484,918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7961,0.8588,0.9287,1.1644,22.9138,1.0000,2024-04-08,5.4181,6.1600,5.4181,148.3488,3.0930,1.0000,-85.0000,0.0000,0.0000,1.1161,0.0000,1.0000,6.7061,6.7061,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,27,23,764,0,130.8187,7.4844,121B217C-F632-4C22-8663-152C1D78C0C6,1,26.8245,1.9699,0.4384,0.8636,1.1707,0.0000,0.0000,0.0000,16.6057,51,0.0000,0,0.0000,0.0000,20931.0000,0.7444,10:32:56,2024-04-08T10:32:56.249,0.1204,8.328198e+01,1.223885e+02,4.7124
30,1.9210,1.9210,0.1694,173.1600,134.0400,145.4400,0.5544,1,1,809,117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7121,0.5390,0.0873,1.8552,18.7658,0.4237,2024-04-08,1.5639,4.8972,1.5639,68.1000,3.0930,3.5465,-30.0000,85.0000,0.0000,1.4337,0.0000,0.2820,5.2202,1.4720,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,18,28,789,0,146.9600,7.4844,4EB43EB0-BF8B-4557-9C45-097E7532E1DF,2,13.3844,1.2919,0.8399,1.0850,0.7132,0.0000,0.0000,0.0000,9.9418,51,0.0000,0,0.0000,0.0000,3674.0000,0.5539,10:32:56,2024-04-08T10:32:56.249,0.6806,2.002873e+00,6.149533e+01,1.3860
